Attribute,Description
plt_IRIAUTO_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 2
plt_IRIAUTO_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 3
plt_IRIAUTO_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 4
plt_IRIAUTO_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 5
plt_IRIAUTO_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 6
plt_IRIAUTO_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 7
plt_IRIAUTO_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 8
plt_IRIAUTO_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 9
plt_LVWL20_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 1 Leading The Way
plt_LVWL20_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 2 In It For Fun
plt_LVWL20_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 3 Value Independence
plt_LVWL20_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 4 I Need A Plan
plt_LVWL20_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 5 Not Right Now
plt_LVWL20_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Living Well 2.0 - 6 Get Through The Day
plt_ETHLANG_01,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-English
plt_ETHLANG_20,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-Spanish
plt_ETHLANG_7A,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-Hindi
plt_ETHLANG_53,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-Chinese
plt_ETHLANG_62,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-Vietnamese
plt_ETHLANG_17,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Language-French
plt_ETHLANG_OTH,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-New Language - Other
plt_ETHEID_01,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-English
plt_ETHEID_20,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Hispanic
plt_ETHEID_10,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-German
plt_ETHEID_15,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Irish
plt_ETHEID_02,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Scottish
plt_ETHEID_19,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Italian
plt_ETHEID_00,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Uncoded
plt_ETHEID_E1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-African American
plt_ETHEID_17,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-French
plt_ETHEID_E5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-African American
plt_ETHEID_85,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-African American
plt_ETHEID_16,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-New Ethnicity-Welsh
plt_ETHEID_OTH,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-New Ethnicity- Other
plt_CHANPR1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference
plt_CHANPR2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference
plt_CHANPRC,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Cell
plt_CHANPRE,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Email
plt_CHANPRM,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Mail
plt_CHANPRP,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Phone
plt_CHANPRT,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Text
plt_CHANPRW,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Channel Preference Index - Web
plt_HMVLADD,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Home Value Address Level
plt_LNVLRTIO,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Loan to Value Ratio
plt_CHANPR1_C,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Cell
plt_CHANPR1_E,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Email
plt_CHANPR1_M,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Mail
plt_CHANPR1_O,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Other
plt_CHANPR1_P,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Phone
plt_CHANPR1_T,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Text
plt_CHANPR1_W,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - First Preference - Web
plt_CHANPR2_C,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Cell
plt_CHANPR2_E,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Email
plt_CHANPR2_M,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Mail
plt_CHANPR2_O,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Other
plt_CHANPR2_P,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Phone
plt_CHANPR2_T,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Text
plt_CHANPR2_W,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference - Second Preference - Web
plt_CHANPRC_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 0
plt_CHANPRC_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 1
plt_CHANPRC_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 2
plt_CHANPRC_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 3
plt_CHANPRC_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 4
plt_CHANPRC_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 5
plt_CHANPRC_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 6
plt_CHANPRC_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 7
plt_CHANPRC_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 8
plt_CHANPRC_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Cell - 9
plt_CHANPRE_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 0
plt_CHANPRE_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 1
plt_CHANPRE_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 2
plt_CHANPRE_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 3
plt_CHANPRE_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 4
plt_CHANPRE_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 5
plt_CHANPRE_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 6
plt_CHANPRE_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 7
plt_CHANPRE_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 8
plt_CHANPRE_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Email - 9
plt_CHANPRM_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 0
plt_CHANPRM_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 1
plt_CHANPRM_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 2
plt_CHANPRM_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 3
plt_CHANPRM_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 4
plt_CHANPRM_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 5
plt_CHANPRM_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 6
plt_CHANPRM_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 7
plt_CHANPRM_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 8
plt_CHANPRM_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Mail - 9
plt_CHANPRP_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 0
plt_CHANPRP_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 1
plt_CHANPRP_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 2
plt_CHANPRP_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 3
plt_CHANPRP_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 4
plt_CHANPRP_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 5
plt_CHANPRP_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 6
plt_CHANPRP_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 7
plt_CHANPRP_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 8
plt_CHANPRP_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Phone - 9
plt_CHANPRT_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 0
plt_CHANPRT_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 1
plt_CHANPRT_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 2
plt_CHANPRT_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 3
plt_CHANPRT_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 4
plt_CHANPRT_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 5
plt_CHANPRT_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 6
plt_CHANPRT_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 7
plt_CHANPRT_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 8
plt_CHANPRT_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Text - 9
plt_CHANPRW_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 0
plt_CHANPRW_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 1
plt_CHANPRW_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 2
plt_CHANPRW_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 3
plt_CHANPRW_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 4
plt_CHANPRW_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 5
plt_CHANPRW_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 6
plt_CHANPRW_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 7
plt_CHANPRW_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 8
plt_CHANPRW_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Channel Preference Index - Web - 9
plt_ESTINV30,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets
plt_ESTINV30_A,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets Less than $5,000"
plt_ESTINV30_B,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $5,000 - $24,999"
plt_ESTINV30_C,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $25,000 - $49,999"
plt_ESTINV30_D,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $50,000 - $74,999"
plt_ESTINV30_E,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $75,000 - $99,999"
plt_ESTINV30_F,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $100,000 - $249.999"
plt_ESTINV30_G,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $250,000 - $499,999"
plt_ESTINV30_H,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $500,000 - $749,999"
plt_ESTINV30_I,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $750,000 - $999,999"
plt_ESTINV30_J,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets $1,000,000+"
plt_ESTINV30_RC,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Investable Assets Recode
plt_ESTDIS30,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Discretionary Income Percent
ZINCDECRNK,KBM-Number-ZIP Income Decile
PLT_ESTDII30,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Dual Income Index 3.0
PLT_ESTDII30_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-0-Most Likely Dual Income
PLT_ESTDII30_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-1
PLT_ESTDII30_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-2
PLT_ESTDII30_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-3
PLT_ESTDII30_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-4
PLT_ESTDII30_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-5
PLT_ESTDII30_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-6
PLT_ESTDII30_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-7
PLT_ESTDII30_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-8
PLT_ESTDII30_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Dual Income Index 3.0-9-Most Likely Single Income
PLT_ESTINC30,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0
PLT_ESTINC30_A,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 <$15,000"
PLT_ESTINC30_B,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $15,000-$19,999"
PLT_ESTINC30_C,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $20,000-$29,999"
PLT_ESTINC30_D,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $30,000-$39,999"
PLT_ESTINC30_E,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $40,000-$49,999"
PLT_ESTINC30_F,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $50,000-$59,999"
PLT_ESTINC30_G,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $60,000-$74,999"
PLT_ESTINC30_H,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $75,000-$99,999"
PLT_ESTINC30_I,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $100,000-$124,999"
PLT_ESTINC30_J,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $125,000-$149,999"
PLT_ESTINC30_K,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $150,000-$199,999"
PLT_ESTINC30_L,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $200,000-$249,999"
PLT_ESTINC30_M,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $250,000-$399,999"
PLT_ESTINC30_N,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $400,000-$499,999"
PLT_ESTINC30_O,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 $500,000+"
PLT_ESTINC30_RC,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Estimated Household Income 3.0 Recode
PLT_NETW30,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0
PLT_NETW30_A,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $0 or Less
PLT_NETW30_B,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $1 - $4,999"
PLT_NETW30_C,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $5,000 - $24,999"
PLT_NETW30_D,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $25,000 - $49,999"
PLT_NETW30_E,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $50,000 - $74,999"
PLT_NETW30_F,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $75,000 - $99,999"
PLT_NETW30_G,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $100,000 - $149,999"
PLT_NETW30_H,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $150,000 - $249,999"
PLT_NETW30_I,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $250,000 - $374,999"
PLT_NETW30_J,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $375,000 - $499,999"
PLT_NETW30_K,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $500,000 - $749,999"
PLT_NETW30_L,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $750,000 - $999,999"
PLT_NETW30_M,"OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 $1,000,000 +"
PLT_NETW30_RC,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Net Worth 3.0 Recode
,
,
,
,
